#Table1
fiberID,ra,dec,z_noqso,z_noqso_err,passive_logmass
161,28.697257,-1.2368489,0.4985707,0.0001434934,10.95
165,28.536587,-1.0356988,0.4420273,8.420655E-05,11.19
169,28.597264,-0.95758958,0.4162545,0.0001120296,11.28
170,28.684971,-0.86248387,0.328982,7.241819E-05,10.62
171,28.651174,-0.93062252,0.5529275,0.000139019,11.04
172,28.571403,-0.83145806,0.04221449,9.91304E-06,8.49
173,28.699611,-0.94793703,0.4962639,9.87742E-05,11.32
175,28.508128,-0.87776071,0.0001006953,5.954051E-05,3.44
177,28.640176,-0.75581016,0.4970888,0.0001209733,11.1
179,28.699406,-0.68442591,0.4422726,0.0001143002,11
180,28.697972,-0.63663651,0.1621592,4.856339E-05,9.86
181,28.629585,-0.64972902,0.4343789,6.64353E-05,11.43
183,28.637042,-0.56938536,0.483651,0.0001078011,11.25
185,28.510658,-0.57252988,0.6451598,9.418874E-05,11.45
186,28.555733,-0.50600827,0.4406718,0.0002027607,10.7
187,28.543256,-0.44226938,0.4158725,8.991831E-05,11.33
188,28.670581,-0.38929084,0.5328542,0.000102937,11.02
189,28.638368,-0.20706199,0.4826621,4.627548E-05,11.34
191,28.547649,-0.2454972,0.3538287,5.00581E-05,11.4
193,28.586543,-0.14974534,0.3544386,4.860213E-05,11.27
195,28.632365,-0.1191543,0.6794302,0.000227847,11.35
196,28.572471,-0.31051798,0.2676888,2.070171E-05,9.68
197,28.554148,-0.090513444,0.52917,0.00014077,10.96
198,28.548889,-0.32783464,0.3610245,5.555775E-05,10.82
199,28.628853,-0.027484658,0.4985605,0.0001092393,11.12
200,28.568249,-0.051382001,0.4982662,0.0001078951,10.86
201,28.407723,-1.2101963,0.7234809,0.0001363557,11.6
203,28.399006,-1.1714901,0.2463952,1.981275E-05,10.99
207,28.431975,-1.0143381,0.6674045,0.0002360241,11.64
210,28.394556,-0.96648961,0.2422661,2.336562E-05,11.52
211,28.352977,-1.1138379,0.6109825,4.332299E-05,11.28
212,28.336654,-0.99310313,0.1356923,1.24374E-05,11.34
213,28.470472,-0.91806546,0.5559197,0.0001722168,11.18
214,28.44453,-0.81843723,0.2424115,5.283704E-05,10.27
215,28.46467,-0.84482919,0.5302345,9.788045E-05,11.17
218,28.528795,-0.72592919,0.4380347,3.306073E-05,11
220,28.52824,-0.69710344,0.4268738,4.166062E-05,11.06
221,28.378675,-0.60186923,0.3211646,5.995786E-05,11.36
223,28.525675,-0.41524116,0.4419979,8.076053E-05,11.23
224,28.498963,-0.6077588,0.2612728,4.312371E-05,11.06
225,28.482294,-0.28343744,0.5246198,0.0001544145,10.97
227,28.530457,-0.24702514,0.497276,0.0001193419,10.92
228,28.449119,-0.29475326,0.4982769,0.0001342053,10.92
229,28.476251,-0.12815889,0.4724551,9.218786E-05,11.08
231,28.448535,-0.25874927,0.4826539,0.0001893004,10.88
233,28.460172,-0.24564411,0.4976499,9.170965E-05,11.19
235,28.490745,-0.10345699,0.3582659,4.652604E-05,11.47
237,28.473663,-0.046379451,0.4982033,0.0001093017,11.33
239,28.474759,-0.024142876,0.5310128,0.0001675601,11.38
243,28.307738,-1.0817194,0.236044,2.330403E-05,11.28
245,28.319591,-1.0293048,0.4204649,8.690512E-05,11.54
247,28.304456,-0.97051788,0.4176548,7.548632E-05,11.53
249,28.291641,-0.93790581,0.2434771,5.808904E-05,10.15
251,28.330597,-0.94896353,0.2448643,2.691003E-05,11.22
252,28.205133,-1.0016869,0.05975957,8.416395E-06,11.17
254,28.238218,-0.88865762,0.2283075,4.683797E-05,9.46
255,28.246692,-0.86138934,0.2435867,4.736547E-05,11.12
259,28.29936,-0.83895715,0.1347239,1.087601E-05,10.07
261,28.149898,-0.67861689,0.5601792,0.0001305782,11.05
262,28.38228,-0.57554841,0.3913605,5.339517E-05,10.65
263,28.345622,-0.65864892,0.4930615,6.964142E-05,11.28
264,28.278314,-0.62016343,0.3252763,5.130026E-05,11.21
265,28.340733,-0.59568756,0.6234738,0.000161292,11.26
266,28.32106,-0.54887942,0.2409418,2.762868E-05,11.43
267,28.379981,-0.41190567,0.3332768,4.437113E-05,11.21
269,28.229128,-0.43118566,0.4763218,0.0001390916,11.01
270,28.249742,-0.48089808,0.2085512,2.134065E-05,11.37
271,28.198779,-0.35633773,0.5818026,0.0001594849,11.07
275,28.419503,-0.155504,0.5645883,0.000169545,11.19
277,28.395557,-0.086811524,0.5191457,9.248246E-05,11.05
279,28.250148,-0.019547711,0.5757425,0.0002178829,11.19
281,27.979169,-1.2240984,0.5209327,9.081052E-05,11.27
283,28.024071,-1.2000955,0.6719955,9.319589E-05,11.32
285,28.106501,-1.1247399,0.6679158,0.0001562216,11.63
287,28.07015,-1.1479062,0.5960532,0.0001562274,11.09
289,28.044683,-1.1454352,0.220785,2.428933E-05,11.26
291,28.085535,-1.0599755,0.5601166,0.0002014447,11.09
293,28.132127,-1.0317874,0.5579243,0.0002077012,11.26
295,27.971157,-0.93971584,0.5804039,0.0001222861,11.18
299,28.064756,-0.75830651,0.6204803,0.0001755434,11.39
300,28.121588,-0.83917903,0.1271042,3.921072E-05,9.32
305,28.07918,-0.48542819,0.5640614,0.0002035995,11.22
307,28.035824,-0.4179175,0.5646703,0.0001301864,11.5
311,28.075944,-0.18343543,0.5315756,0.0002032435,11.29
315,28.012704,-0.17619688,0.5319006,0.0001294449,11.05
319,28.034558,-0.032057306,0.4568117,9.727967E-05,11.51
321,27.911053,-1.2254863,0.4057281,0.0001088444,11.19
323,27.934003,-1.214176,0.5561019,0.0002060708,11.12
325,27.871795,-1.2215783,0.5594426,0.0001890826,11.55
327,27.964946,-1.0667144,0.4357236,0.000174579,10.79
329,27.938171,-1.0299713,0.3370643,0.0001262987,10.81
331,27.864146,-0.93080822,0.4171373,7.674417E-05,11.56
333,27.926253,-0.88095217,0.4463863,0.0001060729,10.99
335,27.798968,-0.83848085,0.4472787,7.669501E-05,11.04
337,27.850418,-0.82765825,0.5815831,0.0001870918,11.43
339,27.834737,-0.75577907,0.4242924,0.0001500074,11.42
341,27.779172,-0.75925956,0.2084298,7.236336E-05,10.6
342,27.844616,-0.66522705,0.5992112,0.0001810531,11.52
343,27.756927,-0.72380789,0.7635213,0.000275193,11.68
345,27.784127,-0.66106508,0.5645262,0.0001247023,11.51
347,27.850475,-0.60043857,0.4782698,0.0001811253,10.87
349,27.856079,-0.57958703,0.5196468,0.0001855203,11.13
351,27.925996,-0.47858809,0.4247148,6.10791E-05,11.26
353,27.806707,-0.37232709,0.3696422,6.160527E-05,11.15
354,27.954376,-0.27778396,0.408172,8.48915E-05,11.24
355,27.81774,-0.28401093,0.4549485,0.0001098979,10.96
359,27.961727,-0.065966956,0.4945467,4.6627E-05,11.2
360,27.881997,-0.081347006,0.4896403,0.0001072773,11.15
361,27.605919,-1.1993634,0.5150025,0.0001377288,11.26
362,27.604178,-1.1690117,0.5191379,0.0002361958,11.31
363,27.644522,-1.1831262,0.5915499,0.0001203335,11.39
364,27.708223,-1.1466071,0.6399767,0.0002138615,11.26
365,27.570505,-1.1407978,0.5196959,0.0001300447,11.14
367,27.667933,-1.0812878,0.5235645,0.0001227768,11.12
369,27.597432,-1.1028134,0.471799,7.185198E-05,11.36
371,27.620703,-1.0587316,0.592836,0.0002225762,11.13
373,27.572058,-1.0754778,0.6749755,0.0002090338,11.35
375,27.686815,-1.0112723,0.5585213,0.0001164332,11.59
377,27.74935,-0.90372829,0.6239828,0.0003168268,11.18
379,27.588746,-0.8661046,0.445913,0.0001405382,11.03
381,27.596996,-0.76342856,0.558644,0.0001039985,11.8
382,27.584141,-0.78309193,0.4890208,0.0001161217,11.26
383,27.648135,-0.71966466,0.5589346,0.0001713672,11.08
384,27.736092,-0.71006721,0.5650143,0.0001453224,11.4
385,27.696966,-0.63427868,0.5204328,0.0001046998,11.16
387,27.592667,-0.63322837,0.7800349,0.0002525964,11.59
388,27.785083,-0.39935397,0.5347842,6.012664E-05,11.05
389,27.652259,-0.37947983,0.5278605,0.0001633952,11.43
390,27.776608,-0.32719616,0.4540504,0.0001517449,11.12
391,27.611057,-0.2945629,0.5217123,0.0001453678,10.98
393,27.713785,-0.27109663,0.5284582,0.0002442335,11.25
395,27.749318,-0.15862233,0.4252375,9.517797E-05,11.25
396,27.641563,-0.1159028,0.4864503,0.0001660825,11.17
397,27.731363,-0.1241339,0.3495713,6.085053E-05,11.16
398,27.735748,-0.10599914,0.3699757,4.535027E-05,11.15
399,27.754778,-0.069918934,0.5270209,0.0001311248,11.05
400,27.679529,-0.06088867,0.08152586,1.436649E-05,8.5
401,27.532492,-1.1860052,0.5188382,0.0001234247,10.97
402,27.337941,-1.2153523,0.4327813,6.944381E-05,11.35
403,27.365288,-1.1923936,0.6574271,7.004018E-05,11.44
404,27.349514,-1.1746792,0.6705797,9.040867E-05,11.34
405,27.449409,-1.1202062,0.4287005,8.093051E-05,11.2
407,27.459618,-1.0878327,0.5777517,0.0001403629,11.19
409,27.530343,-1.0329525,0.7686905,0.0004457796,11.54
410,27.541019,-0.99087264,0.622722,0.0001780751,11.61
411,27.523901,-0.98403607,0.5774801,7.93964E-05,11.23
412,27.393627,-0.99990883,0.5675004,0.0001252543,11.43
413,27.458361,-0.97328534,0.3375034,4.720002E-05,11.22
414,27.436151,-0.95273784,0.259644,5.073442E-05,11.18
415,27.383968,-0.94550649,0.4628154,0.0002051712,11.11
417,27.511177,-0.90252664,0.6604836,6.362693E-05,11.63
419,26.816453,-0.90265543,0.7854664,0.1042945,11.82
421,27.335236,-0.74051635,0.5218487,0.0001178979,10.95
423,27.337846,-0.6898256,0.5679175,0.0001453609,11.39
425,27.390248,-0.67719499,0.5601754,0.0001164473,11.11
431,27.580433,-0.38487805,0.2695757,7.758908E-05,10.4
433,27.461678,-0.35074817,0.6703607,0.0001534631,11.29
435,27.57199,-0.30473764,0.5700096,9.914395E-05,11.38
437,27.522655,-0.18010737,0.4891249,0.0001148603,11.63
439,27.572477,-0.16002926,0.595669,0.000243588,11.3
440,27.522342,-0.080443599,0.2080587,3.032595E-05,11.31
441,27.188109,-1.2410427,0.5551559,0.0001701151,11.21
445,27.213209,-1.1902285,0.5195029,0.0001646539,11.49
447,27.170135,-1.107224,0.6296577,0.000148753,11.28
449,27.128293,-1.0248146,0.4973112,0.0001206126,11.07
450,27.220276,-1.1319642,0.02999819,6.630631E-06,10.81
451,27.326294,-1.0526599,0.6639661,0.0001774947,11.43
453,27.341845,-0.95664805,0.5831504,0.0001739595,11.12
455,27.280521,-0.88905015,0.6709992,0.0001362091,11.55
457,27.208704,-0.90756399,0.5903248,0.0001330346,11.34
459,27.233346,-0.83876922,0.4898434,0.0001696484,11.11
461,27.166043,-0.78483237,0.7710841,0.0001787956,11.64
463,27.296859,-0.78002305,0.5912388,0.0002500038,11.49
464,27.290542,-0.75763709,0.5877256,0.0001936623,11.17
466,27.245586,-0.70620073,0.3590779,4.220513E-05,11.48
467,27.220702,-0.66299302,0.5825101,0.0002121935,11.23
468,27.157716,-0.65302793,0.2570871,2.22282E-05,9.6
469,27.265533,-0.65349116,0.5915918,6.544757E-05,11.31
471,27.201996,-0.51245203,0.5935367,0.0001575269,11.17
473,27.12089,-0.42589783,0.3541646,4.385759E-05,11.35
474,27.278386,-0.34678136,0.5158055,0.0001246624,11.13
475,27.265061,-0.30817285,0.7630922,4.470386E-05,11.51
477,27.187257,-0.2231801,0.5252827,0.000130853,11.3
478,27.162204,-0.18236062,0.4874286,0.0001041651,11.1
479,27.189315,-0.18194258,0.5690925,0.0001471938,11.18
480,27.252009,-0.13181738,0.5183094,0.0002123518,11.4
481,26.781827,-0.66810416,0.7458748,0.0002077953,11.55
482,26.969344,-0.86993667,0.6529807,0.0001013607,11.48
483,26.802054,-0.57137476,0.5943923,0.0001602188,11.12
485,26.639549,-0.1587024,0.5958845,0.0001730586,11.19
487,27.114196,-0.47185727,0.5241432,0.0001229162,11.3
489,27.111506,-0.45257548,0.5919831,0.0001437963,11.22
491,26.882443,-0.33809199,0.7992395,0.0003511093,11.87
493,26.768885,-0.31798288,0.590594,0.0002502034,11.18
494,26.660181,-0.42427885,0.08350138,1.570946E-05,10.73
495,26.935971,-0.24129561,0.4202785,0.0001706022,11.21
497,27.067486,-0.27031515,0.5824375,0.0001703676,11.38
499,26.816064,-0.13874031,0.4727072,0.0001581726,11.61
501,27.073647,1.1411379,0.5683245,0.0001084854,11.27
505,26.569902,0.11645979,0.373219,0.0001259562,11.35
509,26.79439,0.5217325,0.617205,0.0001740929,11.32
512,26.949372,0.18048227,0.2042066,3.464676E-05,11.16
513,27.024527,0.28312508,0.4922094,0.00010501,11.34
515,26.52215,0.13114709,0.4793838,0.000174591,11.08
517,26.823097,-0.092934463,0.3269383,6.13731E-05,11.24
518,26.917871,0.11103841,0.2026108,3.348155E-05,11.31
519,26.947216,-0.086044706,0.5515218,0.0001679563,11.5
523,27.169846,0.66739436,0.4529751,0.0001295821,11.19
525,27.256892,0.66271918,0.6463767,4.789717E-05,11.35
527,27.119626,0.48655034,0.8823178,0.000276235,11.81
528,27.121624,0.07286523,0.4698188,0.0001382871,10.9
529,27.443845,0.6659476,0.5055972,9.08075E-05,11.16
530,27.031304,0.047004003,0.6910479,0.0001629882,11.61
531,27.087599,0.10233264,0.562062,0.0001412407,11.11
533,27.106618,0.30414899,0.5857016,0.0001454885,11.34
534,27.0351,0.0088513955,0.5551273,0.000122053,11.24
535,27.283032,0.15067917,0.5529066,0.0001360094,11.54
537,27.253587,0.17423948,0.4722157,0.0001094319,11.06
541,27.449795,1.2147265,0.5104896,0.0001482439,11.45
543,27.24638,1.1766853,0.5208946,0.000245706,11
545,27.092922,1.1351062,0.5903019,0.0001772676,11.45
546,27.125099,1.0623204,0.04299213,1.01055E-05,8.67
548,27.301603,1.1906479,0.3811144,8.237959E-05,11.38
549,27.371927,1.0623137,0.5776529,0.0002250795,11.37
551,27.211979,1.049446,0.4579834,9.369381E-05,11.11
553,27.291356,0.94698781,0.5902905,0.0002452987,11.14
557,27.313643,0.83636944,0.6765952,0.0001842894,11.45
559,27.369342,0.87381186,0.4849834,0.0001680861,11.01
561,27.483365,0.51675496,0.4863119,0.0001437812,11.17
563,27.447604,0.58475627,0.6011314,0.0002424712,11.52
564,27.433947,0.50480021,0.4882455,0.0001049667,11.17
565,27.47963,0.60840195,0.6023866,0.0001516813,11.15
566,27.465324,0.65261832,0.563673,0.0001370237,11.28
567,27.512363,0.50199991,0.6151074,0.0001740587,11.41
568,27.505323,0.4757762,0.4857419,0.0001386338,11.34
569,27.478831,0.68183353,0.4740515,0.0001733461,10.91
571,27.433295,0.42017261,0.4829041,5.239366E-05,11.11
573,27.473971,0.39400221,0.6005796,0.0001932213,11.22
575,27.306409,0.11133008,0.470655,9.922725E-05,11.25
576,27.528148,0.35856676,0.4884884,9.227547E-05,11.47
579,27.432749,-0.06844443,0.5547943,8.883474E-05,11.39
581,27.393431,1.0483647,0.5183463,0.0001565855,11.23
582,27.038863,1.1006308,0.06992211,9.947197E-06,10.75
583,27.464178,1.2311875,0.6210812,0.0002596309,11.21
585,27.4375,1.0960788,0.702503,0.0001576103,11.59
586,27.478584,1.1870137,0.5777106,0.0001887411,11.35
587,27.576917,0.99171648,0.515363,0.0001532663,10.98
588,27.42415,1.1580365,0.5169554,0.0001733227,10.98
589,27.433113,0.98621762,0.4856163,0.0001367184,10.92
591,27.456066,1.0440589,0.4886872,9.37232E-05,11.33
593,27.418407,0.78614457,0.4857968,0.0001135243,11.21
595,27.430411,0.7585223,0.3809585,4.458263E-05,11.34
597,27.498548,0.76577844,0.5992002,0.0003339591,11.25
598,27.394831,0.84501749,0.5996124,0.0001540838,11.14
599,27.494808,0.78775345,0.4861087,0.0001278843,11.2
601,27.600508,0.60624384,0.4892531,0.0001295501,11.23
602,27.536495,0.64773336,0.4943314,0.0001648932,10.93
603,27.632052,0.6042316,0.4861455,0.0001430367,11.21
605,27.550561,0.5357278,0.486917,0.0001324074,11.14
607,27.51305,0.65305375,0.4951729,0.0001866993,11.26
609,27.559679,0.29347344,0.4879203,0.0001261271,11.42
611,27.626502,0.44749599,0.4847112,0.0001198058,10.95
613,27.602994,0.060962524,0.5293912,0.0001182597,11.08
614,27.543672,0.42201525,0.4876131,0.0001275009,11.22
615,27.630147,0.36610135,0.4862389,9.924433E-05,11.22
617,27.552063,0.32215281,0.4924362,0.0001328357,11.03
618,27.64485,-0.043721659,0.4795911,9.587061E-05,10.97
619,27.665004,0.038587985,0.5772487,0.0001462907,11.51
621,27.699999,1.0188502,0.4857218,9.805267E-05,11.9
622,27.745733,1.2219604,0.3807193,6.818817E-05,11.38
623,27.726546,1.0790105,0.2794542,3.513097E-05,11.04
625,27.652545,1.2382667,0.3781238,5.5537E-05,11.38
627,27.543455,1.1230011,0.51105,0.0001666657,11.04
631,27.717109,0.93501651,0.5731494,0.000161349,11.09
632,27.533192,0.84570861,0.2043799,2.439443E-05,11.32
633,27.592329,0.78990212,0.3618464,4.773068E-05,11.25
635,27.668501,0.66086425,0.4882842,0.0002678378,11.13
637,27.551698,0.75334919,0.4849748,0.0001303019,11.12
639,27.711321,0.71610435,0.4903541,0.0001745517,10.95
641,27.63463,0.55719417,0.4907717,0.0001067364,10.99
643,27.76802,0.50713036,0.4784369,0.0001363672,11.12
645,27.703456,0.34305034,0.4866525,0.0001139461,11.32
