UID,x[kpc/h],y[kpc/h],z[kpc/h],x_pix,y_pix,i_sector,m500c[Msol/h],r500c[kpc/h],gas_frac,star_frac,T[kev],Lx[1e44erg/s],Y500c,M_sat/M_cD,cshift[kpc],vx[km/s],vy[km/s],vz[km/s]
104,585610.44,399712.66,475271.66,14991,6151,20,243684000000000.0,928.16,0.11203,0.0321512,3.8797599999999997,3.44006,35.451421999999994,0.137932,0.0,-38.6031,-215.343,-158.799
105,604634.81,535592.88,333685.25,15478,2672,13,152270000000000.0,793.511,0.0997149,0.0290291,3.05091,1.4747700000000001,21.213537,0.216923,0.0,-337.551,-805.105,-180.88299999999998
106,335813.5,326587.41,346725.34,8596,8023,24,279492000000000.0,971.553,0.119131,0.0271666,4.16392,5.0099,42.352364,0.338379,0.0,150.19299999999998,494.72,-211.636
107,56254.293,44646.210999999996,422422.66,1440,15241,42,250250000000000.0,936.434,0.112708,0.0292863,4.03011,3.7202699999999997,37.377205,0.16741199999999998,0.0,-686.9860000000001,-12.0937,304.171
108,582236.25,215526.83,310097.0,14905,10866,34,81687200000000.0,644.75,0.0855019,0.0319116,2.3188299999999997,0.443113,11.233875999999999,0.0824472,0.0,-39.8011,386.63599999999997,-106.95700000000001
109,425474.84,35921.664,305318.28,10892,15464,46,210591000000000.0,884.099,0.119381,0.0325485,3.85285,2.9994400000000003,35.733163,0.486043,0.0,-38.7922,-251.13,37.9914
110,3207.9622,97303.242,495470.88,82,13893,35,172725000000000.0,827.573,0.110809,0.0371797,3.62699,1.9497,29.226770000000002,0.101092,0.0,-462.352,-408.309,-455.499
111,153369.2,330116.56,304915.34,3926,7933,22,258859000000000.0,947.068,0.107832,0.0298572,4.40991,3.13726,39.572537,0.11155899999999999,0.0,-19.1225,287.324,-8.83677
112,21362.792999999998,25683.597999999998,364607.69,546,15726,42,250975000000000.0,937.341,0.102522,0.0344453,4.33354,2.81469,36.594094,0.044518699999999994,0.0,-72.296,-37.8004,204.989
113,107337.54,361289.59,249120.31,2747,7134,22,231646000000000.0,912.615,0.118283,0.0349813,4.41047,4.4080699999999995,41.838072,0.0873431,0.0,-99.2219,94.6985,409.82800000000003
114,10865.767,362128.03,467926.44,278,7113,21,241314000000000.0,925.16,0.11026,0.0310817,4.11276,3.0707400000000002,36.865066,0.0598095,0.0,65.1703,27.175,98.5376
115,159559.66,404050.31,536301.75,4084,6040,15,230812000000000.0,911.544,0.123743,0.02794,3.86436,3.7302400000000002,38.301668,0.0987414,0.0,135.45600000000002,-231.38299999999998,-311.091
116,594470.88,312764.78,52690.551,15218,8377,27,204264000000000.0,875.15,0.102078,0.0368963,3.5225699999999995,2.30651,27.652563,0.0613337,0.0,-1.72445,528.065,603.815
117,489817.16,104697.91,639848.38,12539,13703,40,193497000000000.0,859.494,0.113893,0.036234,3.40579,2.28954,29.296843,0.131875,0.0,-64.4807,-140.157,-238.646
118,584621.44,401173.28,560508.12,14966,6113,20,230654000000000.0,911.333,0.0991891,0.0329611,4.57967,2.68267,36.376567,0.044444,0.0,-264.622,238.03599999999997,-81.1002
119,127263.01,186467.55,1796.1168,3257,11610,29,241850000000000.0,925.842,0.112068,0.0298378,4.051019999999999,5.57673,36.934771999999995,0.0541784,0.0,-313.877,139.19299999999998,99.0975
120,610690.75,335926.28,72148.078,15633,7784,27,174382000000000.0,830.223,0.0906822,0.0353819,3.5808,1.27357,23.688141,0.0776659,0.0,-313.383,277.394,442.57599999999996
121,602922.19,309219.59,151356.84,15434,8467,27,198155000000000.0,866.32,0.114256,0.0283571,3.60836,2.68439,31.387165999999997,0.142197,0.0,-526.8290000000001,652.687,-155.938
122,526265.94,566154.12,424394.94,13472,1890,5,232933000000000.0,914.311,0.0954448,0.0305502,4.312530000000001,2.04308,33.070708,0.0451542,0.0,-46.7325,255.46900000000002,106.631
123,485646.56,101946.45,112509.88,12432,13774,40,207655000000000.0,879.964,0.115217,0.0261791,3.833,3.16014,34.149513,0.21812800000000002,0.0,-26.9081,107.228,-337.64300000000003
124,531339.88,182609.36,304236.84,13602,11709,40,225379000000000.0,904.322,0.118321,0.0320063,3.48116,3.28997,32.731572,0.432936,0.0,-315.368,299.703,-80.0528
125,576474.06,318296.34,251501.61,14757,8235,27,154604000000000.0,797.549,0.112633,0.0282074,3.22945,2.73445,25.492679000000003,0.30847399999999997,0.0,-90.3528,262.52299999999997,-438.282
126,560965.56,114185.48,593604.5,14360,13460,41,255439000000000.0,942.859,0.108482,0.0301975,4.85677,5.30704,43.653317,0.226183,0.0,-85.6228,65.2102,-277.218
127,409738.44,145241.34,335464.0,10489,12665,39,221718000000000.0,899.4,0.11051,0.0342495,3.9662699999999997,2.9118,34.641382,0.12313299999999999,0.0,145.733,331.962,214.476
128,470066.97,246876.95,209051.91,12033,10063,33,271911000000000.0,962.714,0.108295,0.0285514,4.43976,4.56544,40.6739,0.215903,0.0,-45.5571,115.789,248.45
