	Cell Size	Act Cube Size	Cube Size Set	Clusters	Lower lim	Upper lim	Slope - Vlos	Intercept - Vlos	Scatter - Vlos
0	10000.0	500000.0	500000.0	6078.0	30000000000000.0	700000000000000.0	0.7522210059540425	64.23943856906695	5.399347621079206
1	10000.0	500000.0	500000.0	70.0	30000000000000.01	85726188823133.88	0.7111403163676113	57.61456288759701	39.19694660019677
2	10000.0	500000.0	500000.0	70.0	85726188823133.88	244965981671320.97	0.8601775736153802	49.28977266594665	48.14424356707918
3	10000.0	500000.0	500000.0	70.0	244965981671320.97	700000000000000.1	0.9173407374234354	91.28022418310053	47.285628939461034
