	Cell Size	Act Cube Size	Cube Size Set	Clusters	Lower lim	Upper lim	Slope - Vlos	Error - Slope - Vlos	Intercept - Vlos	Scatter - Vlos
0	10000	500000	500000	70	30000000000000.0	50000000000000.0	0.751	0.093	74.549	Not-calculated
1	10000	500000	500000	70	50000000000000.0	70000000000000.0	0.769	0.092	83.839	Not-calculated
2	10000	500000	500000	70	70000000000000.0	90000000000000.0	0.767	0.078	91.198	Not-calculated
3	10000	500000	500000	70	90000000000000.0	100000000000000.0	0.731	0.086	34.936	Not-calculated
4	10000	500000	500000	70	100000000000000.0	200000000000000.0	0.777	0.096	59.981	Not-calculated
5	10000	500000	500000	70	200000000000000.0	700000000000000.0	0.793	0.105	62.88	Not-calculated
