	Cell Size	Act Cube Size	Cube Size Set	Clusters	Lower lim	Upper lim	Slope - Vlos	Error - Slope - Vlos	Intercept - Vlos	Scatter - Vlos
0	5000.0	500000.0	500000.0	145.0	31622776601683.793	50118723362727.15	0.963	0.173	256.415	0.0
1	5000.0	500000.0	500000.0	145.0	50118723362727.15	79432823472427.89	0.941	0.175	264.527	0.0
2	5000.0	500000.0	500000.0	145.0	79432823472427.89	125892541179416.11	0.971	0.185	260.353	0.0
3	5000.0	500000.0	500000.0	145.0	125892541179416.11	199526231496886.66	1.037	0.179	234.301	0.0
4	5000.0	500000.0	500000.0	145.0	199526231496886.66	794328234724282.1	0.982	0.231	256.762	0.0
