	Cell Size	Act Cube Size	Cube Size Set	Clusters	Lower lim	Upper lim	Slope - Vlos	Error - Slope - Vlos	Intercept - Vlos	Scatter - Vlos
0	10000.0	500000.0	500000.0	3261.0	31622776601683.793	50118723362727.15	0.734	0.007	65.45	0.0
1	10000.0	500000.0	500000.0	1674.0	50118723362727.15	79432823472427.89	0.745	0.012	63.9	0.0
2	10000.0	500000.0	500000.0	723.0	79432823472427.89	125892541179416.11	0.798	0.018	64.31	0.0
3	10000.0	500000.0	500000.0	277.0	125892541179416.11	199526231496886.66	0.794	0.035	70.67	0.0
4	10000.0	500000.0	500000.0	145.0	199526231496886.66	794328234724282.1	0.856	0.051	59.93	0.0
