	Cell Size	Act Cube Size	Cube Size Set	Clusters	Lower lim	Upper lim	Slope - Vlos	Error - Slope - Vlos	Intercept - Vlos	Scatter - Vlos
0	10000	500000	500000	3249	30000000000000.0	50000000000000.0	0.734	0.011	65.293	Not-calculated
1	10000	500000	500000	1331	50000000000000.0	70000000000000.0	0.74	0.018	65.038	Not-calculated
2	10000	500000	500000	626	70000000000000.0	90000000000000.0	0.757	0.026	64.714	Not-calculated
3	10000	500000	500000	154	90000000000000.0	100000000000000.0	0.797	0.058	45.204	Not-calculated
4	10000	500000	500000	578	100000000000000.0	200000000000000.0	0.824	0.03	70.086	Not-calculated
5	10000	500000	500000	140	200000000000000.0	700000000000000.0	0.863	0.075	56.731	Not-calculated
