	Cell Size	Act Cube Size	Cube Size Set	Clusters	Lower lim	Upper lim	Slope - Vlos	Error - Slope - Vlos	Intercept - Vlos	Scatter - Vlos
0	5000.0	500000.0	500000.0	3261.0	31622776601683.793	50118723362727.15	0.954	0.036	247.107	0.0
1	5000.0	500000.0	500000.0	1674.0	50118723362727.15	79432823472427.89	0.984	0.051	265.028	0.0
2	5000.0	500000.0	500000.0	723.0	79432823472427.89	125892541179416.11	1.038	0.08	259.627	0.0
3	5000.0	500000.0	500000.0	277.0	125892541179416.11	199526231496886.66	1.093	0.138	244.918	0.0
4	5000.0	500000.0	500000.0	145.0	199526231496886.66	794328234724282.1	0.982	0.231	256.762	0.0
