	Cell Size	Act Cube Size	Cube Size Set	Clusters	Lower lim	Upper lim	Slope - Vlos	Error - Slope - Vlos	Intercept - Vlos	Scatter - Vlos
0	20000	520000	520000	3261	31622776601683.793	50118723362727.15	0.572	0.005	17.428	Not-calculated
1	20000	520000	520000	1674	50118723362727.15	79432823472427.89	0.561	0.007	13.782	Not-calculated
2	20000	520000	520000	723	79432823472427.89	125892541179416.11	0.583	0.01	11.168	Not-calculated
3	20000	520000	520000	277	125892541179416.11	199526231496886.66	0.591	0.018	24.375	Not-calculated
4	20000	520000	520000	145	199526231496886.66	794328234724282.1	0.603	0.028	13.346	Not-calculated
