	Cell Size	Act Cube Size	Cube Size Set	Clusters	Lower lim	Upper lim	Slope - Vlos	Error - Slope - Vlos	Intercept - Vlos	Scatter - Vlos
0	10000	500000	500000	145	31622776601683.793	50118723362727.15	0.679	0.056	68.848	Not-calculated
1	10000	500000	500000	145	50118723362727.15	79432823472427.89	0.768	0.056	62.789	Not-calculated
2	10000	500000	500000	145	79432823472427.89	125892541179416.11	0.758	0.059	55.256	Not-calculated
3	10000	500000	500000	145	125892541179416.11	199526231496886.66	0.842	0.058	65.798	Not-calculated
4	10000	500000	500000	145	199526231496886.66	794328234724282.1	0.856	0.073	59.934	Not-calculated
