	Cell Size	Act Cube Size	Cube Size Set	Clusters	Lower lim	Upper lim	Slope - Vlos	Error - Slope - Vlos	Intercept - Vlos	Scatter - Vlos
0	10000	500000	500000	3261	31622776601683.793	50118723362727.15	0.734	0.011	65.449	Not-calculated
1	10000	500000	500000	1674	50118723362727.15	79432823472427.89	0.745	0.016	63.897	Not-calculated
2	10000	500000	500000	723	79432823472427.89	125892541179416.11	0.798	0.026	64.311	Not-calculated
3	10000	500000	500000	277	125892541179416.11	199526231496886.66	0.794	0.044	70.668	Not-calculated
4	10000	500000	500000	145	199526231496886.66	794328234724282.1	0.856	0.073	59.934	Not-calculated
